horario,precio,aerolinea,paradas,enlace
10:31-16:30,336297.0,Viva Air Colombia,BOG,https://www.kayak.com.co/book/flight?code=SmBiI41qVz.xef_ezJm63M.8509.bb68fd265115324912c8b5430cb62103&h=d4f8c77cfe48&sub=E-1b9a68d5f67&pageOrigin=F..RP.MB.M72
17:31-19:19,392145.0,Viva Air Colombia,directo ,https://www.kayak.com.co/book/flight?code=SmBiI41qVz.xef_ezJm63M.9922.707267dcfc9d5e1db602d178a0802518&h=d74a38d87bb4&sub=E-1b9a68d5f67&pageOrigin=F..RP.MB.M73
19:00-20:48,392145.0,Viva Air Colombia,directo ,https://www.kayak.com.co/book/flight?code=SmBiI41qVz.xef_ezJm63M.9922.52a31b62789534ba3b2a15ae653129a6&h=f223b65d885b&sub=E-1b9a68d5f67&pageOrigin=F..RP.MB.M74
17:31-19:19,376145.0,Viva Air Colombia,directo ,https://www.kayak.com.co/book/flight?code=SmBiI41qVz.xef_ezJm63M.9517.437011309255ba002c52de227ab82f80&h=15d01f287047&sub=E-1b9a68d5f67&pageOrigin=F..RP.MB.M75
19:00-20:48,376145.0,Viva Air Colombia,directo ,https://www.kayak.com.co/book/flight?code=SmBiI41qVz.xef_ezJm63M.9517.55d074cb70ad5634991acc41eff8207b&h=2816ea4a422d&sub=E-1b9a68d5f67&pageOrigin=F..RP.MB.M76
15:02-19:30,308050.0,"Avianca, Viva Air Colombia",BOG,https://www.kayak.com.cojavascript:void(0)
15:46-22:11,345178.0,LATAM Airlines,BOG,https://www.kayak.com.co/book/flight?code=SmBiI41qVz.lPAzY077B9kUPBPf-jqMFw.8734.9d4d6f8d4e29a061cc5290ecb302378b&h=e1887e1649fe&sub=E-1bbb0617601&pageOrigin=F..RP.MB.M78
10:31-16:30,372747.0,Viva Air Colombia,BOG,https://www.kayak.com.co/book/flight?code=SmBiI41qVz.xef_ezJm63M.9431.293d03e4796e3c10d83163ea4938aed0&h=327585b5718c&sub=E-1b9a68d5f67&pageOrigin=F..RP.MB.M79
8:58-13:37,308050.0,"Avianca, Viva Air Colombia",BOG,https://www.kayak.com.cojavascript:void(0)
6:39-12:30,320700.0,"LATAM Airlines, Viva Air Colombia",BOG,https://www.kayak.com.co/book/flight?code=SmBiI41qVz.iPJIaPv5Rj5w1Q3KrTU5Gg.8115.6ea087d0263cb079b4545950b1af1917&h=db632bafb0fd&sub=E-1f0f592800b&pageOrigin=F..RP.MB.M81
15:02-19:30,346250.0,"Avianca, Viva Air Colombia",BOG,https://www.kayak.com.cojavascript:void(0)
17:31-19:19,376145.0,Viva Air Colombia,directo ,https://www.kayak.com.co/book/flight?code=SmBiI41qVz.xef_ezJm63M.9517.a5e3b5646026fceea377d3269d31bf83&h=d155f2cafc89&sub=E-1b9a68d5f67&pageOrigin=F..RP.MB.M83
19:00-20:48,376145.0,Viva Air Colombia,directo ,https://www.kayak.com.co/book/flight?code=SmBiI41qVz.xef_ezJm63M.9517.d8901ddef170e3e95f4f1c25d4b78051&h=3eaba215b5a2&sub=E-1b9a68d5f67&pageOrigin=F..RP.MB.M84
8:58-13:37,346250.0,"Avianca, Viva Air Colombia",BOG,https://www.kayak.com.cojavascript:void(0)
10:31-16:30,336297.0,Viva Air Colombia,BOG,https://www.kayak.com.co/book/flight?code=SmBiI41qVz.xef_ezJm63M.8509.c200f169ce48b403aa53bc84e6ee323b&h=c2c76e110991&sub=E-1b9a68d5f67&pageOrigin=F..RP.MB.M86
15:02-19:30,308050.0,"Avianca, Viva Air Colombia",BOG,https://www.kayak.com.cojavascript:void(0)
16:27-22:11,406650.0,"LATAM Airlines, Viva Air Colombia",BOG,https://www.kayak.com.co/book/flight?code=SmBiI41qVz.iPJIaPv5Rj5w1Q3KrTU5Gg.10289.b9b0d07c1793832407b182e36f4e4a59&h=43a1bf6934dc&sub=E-1f0f592800b&pageOrigin=F..RP.MB.M88
10:55-12:43,523095.0,Viva Air Colombia,directo ,https://www.kayak.com.co/book/flight?code=SmBiI41qVz.xef_ezJm63M.13235.a4efb12bbfbf191f856714f38d102356&h=3ccc6e574785&sub=E-1b9a68d5f67&pageOrigin=F..RP.MB.M89
6:18-13:37,289500.0,"Avianca, LATAM Airlines",BOG,https://www.kayak.com.co/book/flight?code=SmBiI41qVz.qEot5fi9CI0Edn9PX-8xhQ.7325.896a907191979cac2c7e1f14657ab6aa&h=8e6a6d544820&sub=E-194f1486b22&pageOrigin=F..RP.MB.M90
