id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1471189712056508426,1471189712056508426,"2021-12-15 13:45:35 Hora est. Pacífico, Sudamérica",2021-12-15,13:45:35,-0500,1455507891545329668,jonathanbasto5,Jonathan Basto,,Karen Abudinen @karenabudi rata asquerosa  https://t.co/mNCk6INB7e,fi,"[{'screen_name': 'karenabudi', 'name': 'karen abudinen', 'id': '155428489'}]",[],['https://pbs.twimg.com/media/FGq3PpUWUAoqqIv.jpg'],0,1,1,[],[],https://twitter.com/JonathanBasto5/status/1471189712056508426,False,,1,https://pbs.twimg.com/media/FGq3PpUWUAoqqIv.jpg,,,,,,,[],,,,
1471189705362493440,1471189705362493440,"2021-12-15 13:45:33 Hora est. Pacífico, Sudamérica",2021-12-15,13:45:33,-0500,1240427561320099840,gayerbe2,Gayerbe,,"Y para cuándo la ""investigación exhaustiva"" a Abudinen a ver si aparecen los $70.000 millones??",es,[],[],[],0,0,1,[],[],https://twitter.com/Gayerbe2/status/1471189705362493440,False,https://twitter.com/elespectador/status/1471167308785922049,0,,,,,,,,[],,,,
1471189699750510593,1471189699750510593,"2021-12-15 13:45:32 Hora est. Pacífico, Sudamérica",2021-12-15,13:45:32,-0500,1392179098949201921,yaircortina,Yaircortina,,"@MirandaBogota deseas pruebas de actos de corrupción, dónde la omisión de la exministra Abudinen, me obligó a acudir ante la CIDH.?  Seguramente, sera de utilidad para la batallas que tendrás con ella.",es,[],[],[],0,0,0,[],[],https://twitter.com/yaircortina/status/1471189699750510593,False,,0,,,,,,,,[],,,,
1471189474130419723,1471169194683101184,"2021-12-15 13:44:38 Hora est. Pacífico, Sudamérica",2021-12-15,13:44:38,-0500,1398007636260425730,albert077_,Alberto Ortega,,"@infobaecolombia Muy valiente la Dra Karen Abudinen @karenabudi, aquí nos damos cuenta que ella no le tiene miedo a nadie y menos a decir la verdad! 👏👏  https://t.co/N9r05TP132",es,"[{'screen_name': 'karenabudi', 'name': 'karen abudinen', 'id': '155428489'}]",[],['https://pbs.twimg.com/media/FGq3B6dXMAMDiH1.jpg'],0,1,1,[],[],https://twitter.com/Albert077_/status/1471189474130419723,False,,1,https://pbs.twimg.com/media/FGq3B6dXMAMDiH1.jpg,,,,,,,"[{'screen_name': 'infobaecolombia', 'name': 'Infobae Colombia', 'id': '2350232347'}]",,,,
1471189074648178688,1471163714753683457,"2021-12-15 13:43:03 Hora est. Pacífico, Sudamérica",2021-12-15,13:43:03,-0500,1243241886166458368,cristia99631992,Cristian Alexis,,"@MirandaBogota @karenabudi Así se hace, con valentía sin miedo,ante todo ése centro delincuencial y sus aliados y la tal karen abudinen, es una corrupta, ladrona y sinica. Así son todos que rodean al títere y al Matarife.",es,[],[],[],0,0,2,[],[],https://twitter.com/Cristia99631992/status/1471189074648178688,False,,0,,,,,,,,"[{'screen_name': 'MirandaBogota', 'name': 'Katherine Miranda 🌻 101', 'id': '70539007'}, {'screen_name': 'karenabudi', 'name': 'Karen Abudinen', 'id': '155428489'}]",,,,
1471189066985136134,1471179341044326405,"2021-12-15 13:43:01 Hora est. Pacífico, Sudamérica",2021-12-15,13:43:01,-0500,1454892342926737416,r3ramir35,R R,,"@UltraDerecha18 @lafm Deberían estar castigados ,, por difamar lo que no deben abusan del buen nombre de la exministra Karen Abudinen @karenabudi",es,"[{'screen_name': 'karenabudi', 'name': 'karen abudinen', 'id': '155428489'}]",[],[],0,0,0,[],[],https://twitter.com/R3Ramir35/status/1471189066985136134,False,,0,,,,,,,,"[{'screen_name': 'UltraDerecha18', 'name': 'UltraDerecha', 'id': '1373320608294002688'}, {'screen_name': 'lafm', 'name': 'La FM', 'id': '126204564'}]",,,,
1471188789355761667,1471188789355761667,"2021-12-15 13:41:55 Hora est. Pacífico, Sudamérica",2021-12-15,13:41:55,-0500,977782759048523776,sotwilly,Wilson toro,,"con lo de Karen abudinen entendí el dicho que me enseñó mi abuelita ""TRAS DE LADRÓN BUFÓN"". QUE ASCO ES ESTE GOBIERNO, EL URIBISMO Y SUS ALIADOS, NO SON MÁS QUE RATAS.",es,[],[],[],0,0,2,[],[],https://twitter.com/sotwilly/status/1471188789355761667,False,,0,,,,,,,,[],,,,
1471188642244833281,1471062552897634307,"2021-12-15 13:41:20 Hora est. Pacífico, Sudamérica",2021-12-15,13:41:20,-0500,2511489798,mariomelo11art,Mario Melo 11 Art,,@camiloandres74 @luciagalindo197 @jsanchezcristo Lo Karen Abudinen que es?,es,[],[],[],0,0,0,[],[],https://twitter.com/mariomelo11art/status/1471188642244833281,False,,0,,,,,,,,"[{'screen_name': 'camiloandres74', 'name': 'Andres Rubiano 🇨🇴🇨🇴🇨🇴', 'id': '103946846'}, {'screen_name': 'luciagalindo197', 'name': 'Lucía Galindo', 'id': '1201664995630747648'}, {'screen_name': 'jsanchezcristo', 'name': 'Julio Sánchez Cristo', 'id': '337783129'}]",,,,
1471188424585625605,1471163714753683457,"2021-12-15 13:40:28 Hora est. Pacífico, Sudamérica",2021-12-15,13:40:28,-0500,1202255090431725569,neron87857679,Neron,,@MirandaBogota @karenabudi Que descaro tan hpta el de la rata abudinen.,es,[],[],[],0,0,0,[],[],https://twitter.com/Neron87857679/status/1471188424585625605,False,,0,,,,,,,,"[{'screen_name': 'MirandaBogota', 'name': 'Katherine Miranda 🌻 101', 'id': '70539007'}, {'screen_name': 'karenabudi', 'name': 'Karen Abudinen', 'id': '155428489'}]",,,,
1471188322395602952,1471062552897634307,"2021-12-15 13:40:04 Hora est. Pacífico, Sudamérica",2021-12-15,13:40:04,-0500,1599821450,ajg_csar,CésarGómez,,@mariomelo11art @EnTuLlagaMiDedo @gonzalo64544812 A escuchado últimamente al Fiscal General de la Nación?? En entrevista concedida hace 3 días a la FM dijo que el dinero está a punto de ser recuperado en su totalidad. Karen Abudinen no se robó nada por algo goza de absoluta LIBERTAD,es,[],[],[],1,0,0,[],[],https://twitter.com/ajg_csar/status/1471188322395602952,False,,0,,,,,,,,"[{'screen_name': 'mariomelo11art', 'name': 'Mario Melo 11 Art', 'id': '2511489798'}, {'screen_name': 'EnTuLlagaMiDedo', 'name': 'Juego de Letras', 'id': '786694297148096512'}, {'screen_name': 'gonzalo64544812', 'name': 'gonzalo ramon ', 'id': '1327788494'}]",,,,
