Created at;Favorites;Friends Count;Internal Links;Location;Status ID;Text;User;User ID;User Name;Verified account;Zone;urls
Thu Dec 16 22:05:38 +0000 2021;123769.0;4651.0;;Hunab Ku;1471602442634731523;Ese tonito amenazante de Duque y del uribismo contra Petro y quienes son oposición lo único que hace es instigar la violencia política en medio de elecciones.;Davidz_Fx6;590393866.0;Davidz;0.0;;[]
Thu Dec 16 22:05:31 +0000 2021;37888.0;49.0;;;1471602413471739908;Es inaudito que uno de las pocas cosas que había funcionado bien durante décadas, la expedición de pasaportes, bajo el inepto Duque hayan logrado dañarla. Hay que ser muy incompetente e irresponsable para destruir lo que durante tanto tiempo se había hecho de manera eficiente.;JORGEEDV3103201;9.771941397071708e+17;JORGE EDUARDO DÍAZ VARGAS;0.0;;[]
Thu Dec 16 22:05:25 +0000 2021;11872.0;237.0;;;1471602390113603587;Ñeñe, narcofinca del embajador, chuzadas, perfilamientos, violencia contra jóvenes que protestan, renuncian a curul para ir a Fiscalía de bolsillo, escándalos de Martuchis, Abudinen, plagio y familiares de la pdte de la Cámara, politiquería, etc. El gobierno Duque es lo peor.;gnietog77;2417584769.0;Geovis;0.0;;[]
Thu Dec 16 22:05:19 +0000 2021;3046.0;147.0;;Ciudad Bolívar, estado Bolívar;1471602366801715200;Un informe devastador que acusa a Duque y su gobierno de homicida, violador sexual y racista. Es estruendoso el silencio de la canalla internacional. Desde luego, ese gobierno insistirá en el manido guión de culpar a Venezuela de planificar esa barbarie. https://t.co/8Xw9lHcDtg;Cirmil_BOLIVAR1;1.1725009560655217e+18;Cirmil Bolivar;0.0;;[]
Thu Dec 16 22:05:18 +0000 2021;66438.0;719.0;;Bogotá;1471602361609199626;Los mejores Planes de Gobierno del país son los de la Gobernación del Magdalena y el de la Alcaldía de Medellín. ¿Ven por qué Iván Duque y el Uribismo odia tanto a estos gobiernos?;Pittilin;386878749.0;Maria Piedad;0.0;;[]
Thu Dec 16 22:05:16 +0000 2021;148770.0;708.0;;;1471602353031757834;"Duque es este #mestizo de 1 añito y medio. Lleva en el refugio desde que tenía 6 meses y #nadie ha preguntado por él. Ya es hora de que encuentre la #familia que tanto merece. ¿Nos ayudas?. Más info:

https://t.co/TalA6E1x0o

#adopta #protectora #rt https://t.co/kopwu8lbDx";Araba_walky;7.670770534265242e+17;Itzi;0.0;;[]
Thu Dec 16 22:05:11 +0000 2021;472.0;244.0;;;1471602329363308548;Los mejores Planes de Gobierno del país son los de la Gobernación del Magdalena y el de la Alcaldía de Medellín. ¿Ven por qué Iván Duque y el Uribismo odia tanto a estos gobiernos?;Rudos2012;722092674.0;Ruben Dario Ospina;0.0;;[]
Thu Dec 16 22:05:10 +0000 2021;523.0;317.0;;Las Vegas - Cojedes;1471602329136902150;Un informe devastador que acusa a Duque y su gobierno de homicida, violador sexual y racista. Es estruendoso el silencio de la canalla internacional. Desde luego, ese gobierno insistirá en el manido guión de culpar a Venezuela de planificar esa barbarie. https://t.co/8Xw9lHcDtg;jgms13;194853519.0;Jesus Gerardo Mena Schwarzenberg;0.0;;[]
Thu Dec 16 22:05:10 +0000 2021;57357.0;209.0;;;1471602328075710481;"En promedio en Colombia en los últimos meses todo ha subido en un 25%, aún sin contar lo que puede subir el otro año los productos y servicios con el aumento del salario mínimo, pero muchos están celebrando porque el salario va a subir un 10%.

Duque y sus anuncios engaña bobos.";leoandpar;333627417.0;lap;0.0;;[]
Thu Dec 16 22:05:07 +0000 2021;1839.0;6138.0;;Bogotà;1471602315480162304;@JotaBD @PaoHerreraC @malgobernado Obedece a la misma estrategia de la campaña de Duque Presidente: no debatir para evitar su incapacidad. Char es el otro gallo tapado de Uribe.;Oscarpanesso;75884054.0;Oscar Panesso;0.0;;[]
Thu Dec 16 22:05:03 +0000 2021;50.0;25.0;;españa;1471602296291221518;;edgaragutierrez;319231894.0;edgar a gutierrez;0.0;;[]
Thu Dec 16 22:05:02 +0000 2021;57092.0;49957.0;https://t.co/UANWcnxt2B;Bogotá, Colombia;1471602292092719105;;elespectador;14834302.0;elespectador;1.0;;[{'url': 'https://t.co/PrbMIfcwFJ', 'expanded_url': 'https://twitter.com/i/web/status/1471602292092719105', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]
Thu Dec 16 22:05:01 +0000 2021;3359.0;473.0;;;1471602289257373697;"Padrino López: Informe de ONU sobre Colombia es «devastador y acusa a Duque de homicida» #ElPetroEsTendencia

https://t.co/aQWLvVTlUw";OsmaOchoa1;1.4643141476388536e+18;Osma Ochoa;0.0;;[]
Thu Dec 16 22:04:57 +0000 2021;857.0;30.0;;;1471602272497020938;;Caro1209;1.2412226819550536e+18;Carolina;0.0;;[]
Thu Dec 16 22:04:50 +0000 2021;14842.0;338.0;;Maracaibo, Venezuela;1471602242549649409;Un informe devastador que acusa a Duque y su gobierno de homicida, violador sexual y racista. Es estruendoso el silencio de la canalla internacional. Desde luego, ese gobierno insistirá en el manido guión de culpar a Venezuela de planificar esa barbarie. https://t.co/8Xw9lHcDtg;CaballeroDevner;132980805.0;Tcnel. Devner Caballero;0.0;;[]
Thu Dec 16 22:04:43 +0000 2021;1793.0;1821.0;;Santa Marta, Colombia;1471602213260832787;"En promedio en Colombia en los últimos meses todo ha subido en un 25%, aún sin contar lo que puede subir el otro año los productos y servicios con el aumento del salario mínimo, pero muchos están celebrando porque el salario va a subir un 10%.

Duque y sus anuncios engaña bobos.";lavozsamaria;796806409.0;La Voz Samaria Digital;0.0;;[]
Thu Dec 16 22:04:40 +0000 2021;11288.0;41.0;;;1471602199260241920;A Fico Gutiérrez le parece buen gobierno el de Uribe/Duque, propone lo mismo que Uribe/Duque, solo habla de Petro, como Uribe/Duque, mete miedo con el carretazo de Venezuela, como Uribe/Duque, pero dice que no es uribista.;CarlosG15098590;1.0957609711995863e+18;Carlos Gomez;0.0;;[]
Thu Dec 16 22:04:37 +0000 2021;661.0;229.0;https://t.co/WoJu8aDQxV;Colombia;1471602187553976320;"Les comparto mi última entrada: 

Reactivación económica de Duque, una falta de compromiso con los trabajadores y el campesinado.

Abro hilo. https://t.co/KdBvATPXkT";CatatumbComunes;3544845552.0;Pablo Catatumbo;0.0;;[]
Thu Dec 16 22:04:29 +0000 2021;2955.0;7670.0;https://t.co/CCnrh4M7T1;Venezuela;1471602154486050831;;mgomezcandanga;143143188.0;الله أكبر Manuel Gómez #FreeAlexSaab;0.0;;[{'url': 'https://t.co/HYiGzFY162', 'expanded_url': 'https://twitter.com/i/web/status/1471602154486050831', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]
Thu Dec 16 22:04:28 +0000 2021;28549.0;211.0;;;1471602152942485514;Un verdadero cambio sólo lo lograremos con #5MillonesDeVotos. Petro y un congreso con 55/86 es la única alternativa que tiene COL para mejorar la situación de cada colombiano. No más bajezas como la de Comisión de Acusaciones @CamaraColombia al archivar la Ñeñe Política de Duque;jhonf809;1917228152.0;jhon castillo;0.0;;[]
Thu Dec 16 22:04:26 +0000 2021;31609.0;1619.0;;Desde cualquier lugar del pais;1471602143937372170;"Una pregunta para el SubPresidente Ivan Duque. ¿O sea que las multinacionales van a pisotear los emprendimientos de nuestros indígenas?. Claro como no son los jóvenes emprendedores de las manillas y zonas francas. #DeFicoPienso #DePetroPienso 

https://t.co/mStpZeiGG3";LUIS9083;1264466844.0;EL PATO LUCAS;0.0;;[]
