Created at;Favorites;Friends Count;Internal Links;Location;Status ID;Text;User;User ID;User Name;Verified account;Zone;urls
Wed May 04 02:00:42 +0000 2022;12185.0;611.0;;;1521671126962913280;4 años tuvo Iván Duque para haberle subido los ingresos a los policías, pero lo hace justo a 3 meses de terminar su mandato y en plena campaña presidencial con miembros de la fuerza pública participando en política. Este tipo de acciones siguen alimentando un Golpe de Estado;MaraAdelaidaMa3;1.468207492131963e+18;mmadela;0.0;;[]
Wed May 04 02:00:41 +0000 2022;124149.0;4975.0;;Colombia;1521671121787052038;Aída Merlano aseguró que $6 mil millones de Julio Gerlein entraron a la campaña de Duque. https://t.co/AjK61zn1WQ;agendaciudadana;82744595.0;MAM🐈BRU🐈;0.0;;[{'url': 'https://t.co/AjK61zn1WQ', 'expanded_url': 'https://m.elcolombiano.com/colombia/aida-merlano-asegura-que-seis-mil-millones-de-pesos-de-julio-gerlein-entraron-a-campana-de-ivan-duque-BD17369109', 'display_url': 'm.elcolombiano.com/colombia/aida-…', 'indices': [108, 131]}]
Wed May 04 02:00:40 +0000 2022;9088.0;282.0;;Bogotá, D.C., Colombia;1521671119320797187;Ante declaraciones de Aida Merlano en una audiencia en la que salpicó la campaña de Iván Duque para llegar a la presidencia, el mandatario se pronunció: “Que no venga con falacias” - https://t.co/SEPG2TnLwN https://t.co/mYX0jfB70Q;CarlosR04939779;3034772049.0;Carlos Ruiz;0.0;;[]
Wed May 04 02:00:40 +0000 2022;33905.0;2014.0;;;1521671117735399426;Aída Merlano aseguró que $6 mil millones de Julio Gerlein entraron a la campaña de Duque. https://t.co/AjK61zn1WQ;JohanMa20;1.2127678138797548e+18;JohanMa;0.0;;[{'url': 'https://t.co/AjK61zn1WQ', 'expanded_url': 'https://m.elcolombiano.com/colombia/aida-merlano-asegura-que-seis-mil-millones-de-pesos-de-julio-gerlein-entraron-a-campana-de-ivan-duque-BD17369109', 'display_url': 'm.elcolombiano.com/colombia/aida-…', 'indices': [108, 131]}]
Wed May 04 02:00:40 +0000 2022;60.0;72.0;;Riohacha la Guajira;1521671116879761408;Presidente Iván Duque anunció un nuevo decreto para subir el salario de los policías. Según el mandatario este tipo de aumento no se ve en la institución “desde 1993” - https://t.co/IiBxV7PozH https://t.co/uXqPbCtGVD;ANGELDA03326390;1.441069723047846e+18;NoticiaEnLaGuajira;0.0;;[]
Wed May 04 02:00:40 +0000 2022;14116.0;301.0;;;1521671116514803713;"#NoticiaW | La excongresista Aída Merlano declaró que parte del dinero que se recibió a modo de “coimas” para su campaña, se habría usado en la campaña presidencial del actual mandatario Iván Duque Márquez.

https://t.co/tMYQBq3ruT";78Nobita;1.1950788928994918e+18;Nobita'78;0.0;;[]
Wed May 04 02:00:38 +0000 2022;1711.0;100.0;;;1521671111779524608;Iván Duque denunciará a Gerlein porque a su campaña sólo le llegaron 3000 millones.;JoseMon72263882;1.4847453707102577e+18;Jose Monsalve;0.0;;[]
Wed May 04 02:00:37 +0000 2022;283409.0;6381.0;;;1521671107316793350;"A Iván Duque no le alcanzaron los 4 años para destruir al país.

Por eso trata hacer elegir a Federico Gutiérrez.";luisenesimo;2373036836.0;NO + MASACRES;0.0;;[]
Wed May 04 02:00:34 +0000 2022;1862.0;30.0;;;1521671094280851460;Aída Merlano aseguró que $6 mil millones de Julio Gerlein entraron a la campaña de Duque. https://t.co/AjK61zn1WQ;clempinp;2716354806.0;clemencia pinzon;0.0;;[{'url': 'https://t.co/AjK61zn1WQ', 'expanded_url': 'https://m.elcolombiano.com/colombia/aida-merlano-asegura-que-seis-mil-millones-de-pesos-de-julio-gerlein-entraron-a-campana-de-ivan-duque-BD17369109', 'display_url': 'm.elcolombiano.com/colombia/aida-…', 'indices': [108, 131]}]
Wed May 04 02:00:32 +0000 2022;1025.0;13.0;;Bogotá, DC, Colombia;1521671083061088261;Aida Merlano acaba de asegurar que la campaña del presidente Iván Duque en 2018 recibió 6 mil millones de pesos de Julio Gerlein. Los magistrados de la @CorteSupremaJ le hicieron jurar para que no estuviera incurriendo en falso testimonio;raterwater;9.502219597025034e+17;LUTHER MEYER;0.0;;[]
Wed May 04 02:00:31 +0000 2022;280817.0;3737.0;;Colombia;1521671078891958272;Aída Merlano aseguró que $6 mil millones de Julio Gerlein entraron a la campaña de Duque. https://t.co/AjK61zn1WQ;Ralfklein1201;4443912760.0;Ralfklein  🥑🐝;0.0;;[{'url': 'https://t.co/AjK61zn1WQ', 'expanded_url': 'https://m.elcolombiano.com/colombia/aida-merlano-asegura-que-seis-mil-millones-de-pesos-de-julio-gerlein-entraron-a-campana-de-ivan-duque-BD17369109', 'display_url': 'm.elcolombiano.com/colombia/aida-…', 'indices': [108, 131]}]
